case_id,fix_number,fragment_reward,trigger_reward
1,39,0.333,0.000
2,43,1.000,0.000
3,53,1.000,0.033
4,68,1.000,0.000
5,107,,
6,119,1.000,0.050
7,140,,0.000
8,166,1.000,0.025
9,169,1.000,0.500
10,198,0.067,
11,200,,
12,201,,1.000
13,220,0.000,
14,221,0.500,0.000
15,223,1.000,0.000
16,228,1.000,0.000
17,269,1.000,0.000
18,273,1.000,0.033
19,293,0.500,0.000
20,296,0.000,0.250
21,309,0.667,
22,314,1.000,0.000
23,330,1.000,0.000
24,343,,
25,344,1.000,0.050
26,356,0.667,0.000
27,361,0.667,0.667
28,371,0.667,0.000
29,373,1.000,0.000
30,375,1.000,0.000
31,376,0.500,0.000
32,389,0.667,
33,393,1.000,0.000
34,400,1.000,0.000
35,422,0.250,0.025
36,431,0.500,0.000
37,455,1.000,1.000
38,468,0.500,
39,486,,
40,487,1.000,0.000
